# Time-averaged data for fix avgrdf
# TimeStep Number-of-rows
# Row c_h2oRDF[1] c_h2oRDF[2] c_h2oRDF[3] c_h2oRDF[4] c_h2oRDF[5] c_h2oRDF[6] c_h2oRDF[7]
10000 100
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0
10 0.95 0 0 0 0 0 0
11 1.05 0 0 0 0 0 0
12 1.15 0 0 0 0 0 0
13 1.25 0 0 0 0 0 0
14 1.35 0 0 0 0 0 0
15 1.45 0 0 0 0 0 0
16 1.55 0.000390528 7.8125e-05 0.014074 0.00141602 0 0
17 1.65 0.00574195 0.00138672 0.377681 0.0444824 0 0
18 1.75 0.0409981 0.0118945 1.50083 0.236992 0 0
19 1.85 0.15448 0.0561523 1.90809 0.510488 0 0
20 1.95 0.408855 0.18625 1.31855 0.720459 0 0
21 2.05 0.766759 0.455879 0.684122 0.84082 0 0
22 2.15 1.1146 0.887012 0.338858 0.906406 0 0
23 2.25 1.35889 1.46262 0.17931 0.944414 0 0
24 2.35 1.43965 2.12783 0.115799 0.971182 0 0
25 2.45 1.33072 2.79605 0.0921492 0.994346 0.00140633 0.000351562
26 2.55 1.11661 3.40355 0.109782 1.02424 0.213161 0.0582812
27 2.65 0.877252 3.919 0.1797 1.0771 1.93041 0.624922
28 2.75 0.694034 4.35816 0.326566 1.18055 3.70988 1.79746
29 2.85 0.614155 4.77555 0.589517 1.38108 3.04712 2.8318
30 2.95 0.611633 5.22098 0.987558 1.74102 1.68436 3.4443
31 3.05 0.663039 5.73705 1.39418 2.28413 0.895555 3.79242
32 3.15 0.752248 6.3616 1.62724 2.96031 0.592074 4.03797
33 3.25 0.834191 7.09879 1.61678 3.67536 0.540169 4.27645
34 3.35 0.931382 7.97332 1.45955 4.36123 0.560677 4.53945
35 3.45 1.02131 8.99039 1.30748 5.01285 0.617674 4.84676
36 3.55 1.1051 10.1556 1.17859 5.63479 0.694141 5.21242
37 3.65 1.16762 11.4571 1.07497 6.23449 0.778886 5.64621
38 3.75 1.19699 12.8654 1.02235 6.83651 0.876509 6.16145
39 3.85 1.18332 14.3328 1.00414 7.45975 0.930887 6.73813
40 3.95 1.14432 15.8266 0.996933 8.11106 1.02692 7.40766
41 4.05 1.10725 17.346 1.00968 8.80452 1.11624 8.17277
42 4.15 1.07551 18.8956 1.02112 9.54087 1.18624 9.02648
43 4.25 1.05591 20.4913 1.01991 10.3122 1.23329 9.9575
44 4.35 1.06143 22.1717 1.01079 11.1131 1.25228 10.9477
45 4.45 1.05649 23.922 1.01004 11.9506 1.27043 11.9989
